Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Seating_Capacity,Promotions,Reviews,Monthly_Revenue
229,21.63,2547.25,American,25.14,151,1,295.0,31283.14
68,14.6,1067.43,Japanese,22.46,170,0,51.0,2646.83
186,35.33,2068.67,Indian,14.92,199,0,316.0,13696.01
202,24.41,1275.05,American,59.0,95,1,408.0,60607.17
241,20.39,2429.59,Italian,17.34,179,1,294.0,27829.73
116,11.67,1752.43,Mexican,51.53,112,0,259.0,23430.8
90,59.63,1163.97,American,59.52,148,1,216.0,20207.94
144,50.46,2433.43,Indian,44.71,47,0,334.0,37026.1
228,24.97,774.11,Japanese,30.56,94,1,458.0,37116.4
204,29.26,2814.35,Italian,21.59,57,1,493.0,24076.85
290,37.16,1674.06,Mexican,57.22,167,1,117.0,82072.83
21,10.7,396.52,Mexican,46.32,165,1,263.0,10404.74
50,27.54,185.0,Japanese,43.54,66,1,418.0,11491.42
229,37.89,2443.96,American,34.74,88,1,451.0,38598.67
79,57.99,2337.35,American,17.11,172,0,246.0,5388.75
135,58.13,2004.67,American,36.8,74,0,346.0,26169.51
103,47.41,2183.12,American,25.69,165,0,250.0,9066.58
126,10.64,1555.63,Italian,26.92,165,0,359.0,14162.29
176,39.39,224.27,Italian,45.49,122,1,159.0,48558.71
281,31.97,1439.07,Mexican,51.01,39,0,266.0,73379.85
168,41.72,2215.1,Italian,41.53,64,0,47.0,40797.29
60,28.55,1179.09,Japanese,12.24,35,0,304.0,10074.42
65,33.85,2102.82,American,24.34,33,1,395.0,10498.17
291,31.23,776.25,Italian,56.37,29,0,197.0,80180.62
73,15.0,982.91,Mexican,17.91,188,0,476.0,500.0
101,45.63,2163.24,Mexican,29.64,157,0,327.0,20804.25
285,8.38,906.78,Mexican,18.38,120,1,322.0,29805.56
141,33.01,2293.37,Indian,54.43,125,1,46.0,40986.94
58,51.2,2723.32,American,35.36,190,1,469.0,13762.05
276,48.88,1341.98,American,16.8,154,1,413.0,28004.83
156,25.04,2046.22,Indian,58.19,78,1,64.0,43634.59
145,35.44,988.65,American,23.03,193,1,487.0,13068.77
240,55.31,1483.77,Indian,48.66,136,0,350.0,59454.45
112,24.13,1127.62,Mexican,49.9,148,0,143.0,25480.19
244,38.2,1617.33,Italian,11.97,112,1,27.0,18551.17
229,56.57,2955.32,Indian,51.62,186,0,410.0,67551.82
245,57.59,2930.93,Italian,33.52,32,1,44.0,46179.4
155,43.36,1299.9,American,20.69,152,1,421.0,22465.75
152,58.99,2095.97,Japanese,12.73,156,1,133.0,17973.92
89,48.35,2472.14,Italian,24.09,125,0,497.0,12977.57
67,58.64,1424.69,Mexican,8.33,186,0,204.0,8689.75
249,42.91,2755.11,Italian,57.45,111,0,,72705.6
50,41.97,1026.93,American,37.88,31,1,458.0,9418.02
81,11.01,810.1,Italian,43.11,91,1,358.0,23851.92
20,33.46,1366.23,Mexican,28.38,63,0,106.0,2778.14
59,25.19,2193.56,Indian,43.91,42,0,305.0,16045.37
76,10.35,2749.5,Japanese,35.0,124,1,154.0,9156.37
87,41.03,1457.41,Japanese,24.45,119,1,343.0,9614.31
104,58.5,1736.42,Mexican,18.97,66,0,477.0,15074.05
152,37.73,1157.13,Indian,12.36,187,1,145.0,24566.6
26,26.44,573.45,Mexican,40.83,86,0,94.0,500.0
185,57.14,305.42,Japanese,14.37,132,1,93.0,16006.56
264,43.45,2261.54,Mexican,26.93,127,0,40.0,36653.56
154,16.15,477.99,Indian,11.15,32,0,139.0,7876.73
26,39.55,2374.95,Italian,21.98,199,0,363.0,4571.24
72,52.55,2886.82,Mexican,43.82,100,1,332.0,23304.45
194,48.43,1705.11,American,36.29,58,1,411.0,40148.88
68,33.83,1695.13,Japanese,39.85,144,0,176.0,17157.99
142,43.56,2053.54,Mexican,34.18,179,0,354.0,26752.67
163,53.93,1975.83,Japanese,58.35,98,1,93.0,49424.04
129,46.49,1351.99,Mexican,38.41,122,0,317.0,24611.96
255,37.45,2746.21,Indian,53.96,112,1,43.0,74399.11
99,58.83,1018.29,Mexican,41.98,66,0,450.0,24253.65
265,11.17,2481.73,Italian,49.94,144,0,419.0,66489.18
177,24.32,1747.3,Indian,9.13,33,1,165.0,12571.69
200,57.65,2986.96,Italian,22.63,116,1,381.0,30785.82
151,9.61,,Indian,17.28,45,0,150.0,7821.5
175,44.25,1943.37,American,45.91,92,0,54.0,37575.99
164,35.52,1962.37,Indian,24.25,133,0,357.0,24422.7
266,38.99,1894.14,Japanese,40.99,22,0,413.0,57926.07
207,11.78,535.38,Indian,20.42,111,1,345.0,30050.92
100,8.42,2025.99,Indian,26.64,27,0,425.0,10339.9
260,24.7,1666.97,Mexican,36.46,193,0,328.0,49727.21
97,28.8,2255.91,Indian,20.2,59,0,248.0,11209.13
270,40.8,2998.57,Italian,28.2,27,1,44.0,35368.08
38,36.24,2496.41,Japanese,10.3,84,0,288.0,500.0
285,11.12,2994.24,Japanese,41.56,184,0,474.0,56111.7
146,10.79,2160.09,American,18.74,76,1,423.0,13176.44
285,42.67,275.91,Japanese,32.01,185,1,98.0,49843.44
150,51.87,1765.37,American,21.31,93,0,118.0,25532.27
88,33.29,1979.01,Mexican,33.9,66,0,306.0,15021.18
278,20.33,2264.3,American,29.96,62,0,346.0,42444.93
214,28.71,1986.25,Mexican,58.06,103,1,47.0,66695.88
172,11.01,,Mexican,11.34,73,1,238.0,9285.69
273,45.39,1649.03,Japanese,23.56,161,0,6.0,41398.2
274,19.69,1023.6,Italian,53.68,49,0,203.0,63812.14
236,32.7,852.16,Indian,40.1,173,0,194.0,41695.11
194,23.07,509.49,American,48.18,29,1,477.0,52916.81
200,27.21,2768.15,Mexican,11.32,149,0,246.0,20930.88
142,34.45,2588.43,Indian,57.14,181,1,8.0,45602.31
222,17.9,2833.03,Mexican,45.8,68,1,0.0,47466.64
219,45.81,1546.71,Japanese,26.01,163,1,315.0,34111.41
39,13.58,1087.91,American,22.58,179,0,189.0,500.0
146,47.37,763.99,American,34.9,23,1,399.0,25621.52
150,10.4,1830.03,Indian,14.13,141,1,323.0,12673.42
221,33.16,2393.78,Italian,20.15,93,0,463.0,24059.98
233,38.76,971.95,Indian,54.44,84,0,347.0,68020.37
201,19.53,1518.9,Indian,47.44,45,0,223.0,37770.63
195,9.72,1648.55,Indian,12.8,89,1,400.0,11749.31
156,44.71,1588.04,Italian,21.56,62,1,30.0,16224.47
179,44.08,2620.51,Italian,9.26,172,0,305.0,8447.86
105,9.55,931.09,Japanese,53.43,130,1,367.0,36652.96
236,16.92,1329.48,Indian,34.31,44,1,193.0,48780.01
87,15.58,1291.63,Indian,12.7,35,1,278.0,8985.36
74,26.0,2606.97,Italian,22.49,131,0,333.0,12157.42
42,16.31,2032.34,American,55.45,34,0,368.0,14079.4
183,30.48,1325.53,American,53.51,48,0,181.0,47212.99
284,45.69,1377.47,Italian,59.33,94,0,490.0,69571.94
42,50.24,2982.99,Japanese,19.76,186,0,434.0,500.0
191,51.57,1496.85,American,11.05,23,1,399.0,21016.43
193,20.56,1572.32,Mexican,26.54,102,1,346.0,15893.88
190,33.66,370.24,Mexican,38.05,74,0,,42989.06
280,51.22,1727.81,Japanese,11.1,183,0,417.0,29833.75
270,55.4,1574.21,Indian,52.38,187,0,209.0,74897.54
100,45.65,2835.8,Mexican,19.17,156,0,23.0,14046.08
150,32.87,434.28,Japanese,29.11,159,1,9.0,28055.82
89,16.45,2754.08,Italian,18.01,164,0,318.0,6190.05
195,49.13,2585.67,Mexican,19.2,94,0,172.0,32862.83
75,22.85,275.0,Japanese,17.05,172,0,394.0,6675.26
113,16.59,84.78,Mexican,15.58,67,0,131.0,5109.05
172,17.5,2352.16,Mexican,39.02,118,0,243.0,40489.65
232,44.4,334.63,Japanese,16.95,70,0,377.0,26792.29
81,55.9,795.19,Italian,58.06,45,0,227.0,26058.07
143,14.98,883.78,Mexican,23.32,48,0,176.0,22081.58
108,58.96,2259.83,Mexican,9.35,190,1,474.0,20903.42
89,48.14,2243.9,Japanese,14.53,192,0,269.0,9846.51
125,26.17,2369.86,Italian,14.18,179,0,412.0,11733.26
88,11.42,1231.99,American,20.82,67,0,14.0,2361.72
168,29.55,1364.62,American,35.15,187,0,373.0,30092.9
211,36.19,2662.77,Indian,47.58,176,1,278.0,61321.14
179,26.2,1393.71,Indian,33.18,49,1,136.0,28325.41
258,50.27,1164.2,Indian,33.05,31,0,57.0,43257.65
52,27.62,2269.89,Italian,53.55,77,1,29.0,6713.15
113,35.63,999.32,Mexican,26.75,135,0,72.0,10591.86
222,38.03,335.19,Japanese,23.65,153,1,402.0,26012.71
139,48.84,1540.1,Indian,41.12,69,1,42.0,32488.76
171,12.96,894.83,American,48.71,80,1,392.0,42358.75
105,51.45,606.0,Indian,20.85,123,1,84.0,5497.11
186,38.53,457.0,Italian,25.64,119,1,471.0,30799.46
284,51.25,1453.42,Japanese,14.73,106,0,263.0,36643.63
30,33.96,704.01,American,41.48,90,0,39.0,10261.16
50,37.25,2290.96,American,35.92,121,0,280.0,6220.94
75,56.49,639.53,Japanese,30.62,48,1,478.0,19053.26
148,40.37,562.63,Japanese,33.77,95,1,333.0,26589.7
185,41.56,2217.5,Italian,29.25,151,1,162.0,26765.3
120,51.55,223.11,Japanese,40.6,91,0,143.0,20023.25
233,55.23,172.97,Italian,29.58,176,0,298.0,33653.71
181,20.67,2692.15,Mexican,39.01,77,1,238.0,34869.17
107,42.43,2088.78,Indian,59.26,155,1,369.0,36758.86
281,14.26,2721.91,Indian,32.36,42,0,319.0,34750.66
295,11.4,1276.89,Indian,53.0,182,0,494.0,61482.78
124,41.14,866.05,American,53.43,99,1,3.0,40418.88
278,33.49,2986.77,Italian,33.7,61,1,291.0,47384.89
281,53.83,1194.55,Japanese,40.39,93,0,112.0,72049.26
159,27.18,1493.45,American,20.37,167,1,113.0,20601.11
81,52.43,962.11,Mexican,36.66,157,1,418.0,11271.88
67,47.68,1984.69,Japanese,48.73,163,0,190.0,21852.22
58,24.92,1033.38,Indian,10.27,20,1,368.0,9505.43
117,22.47,2735.27,Mexican,29.74,89,0,277.0,9764.23
194,44.89,2072.39,Japanese,53.58,26,1,41.0,54765.67
40,48.34,2096.38,American,58.59,175,0,197.0,18460.62
204,37.97,1435.48,Mexican,50.3,20,0,221.0,43717.83
88,15.12,168.71,American,51.24,55,1,361.0,24444.93
81,49.53,2321.71,American,23.84,34,0,,13742.55
282,40.67,820.3,Mexican,48.83,95,1,436.0,83014.2
171,41.4,2565.08,Mexican,10.27,120,1,240.0,20620.96
227,35.8,310.75,Italian,14.08,196,1,163.0,20001.38
196,28.94,1414.89,American,58.4,124,0,136.0,47341.3
113,50.32,476.18,Japanese,18.93,150,0,474.0,13223.99
184,35.39,389.86,Italian,16.93,28,1,21.0,20480.8
155,46.91,675.3,Italian,9.25,142,1,332.0,13128.31
67,34.86,1072.95,Mexican,51.45,33,0,264.0,15207.24
129,15.14,2136.5,Japanese,53.65,166,0,248.0,27823.93
272,14.27,470.56,Italian,17.88,70,1,343.0,32396.35
146,9.61,556.13,Japanese,30.97,126,0,316.0,19691.8
89,23.78,1109.71,Italian,52.25,63,0,172.0,18798.05
132,14.79,2966.29,American,18.79,194,0,251.0,13736.63
236,50.02,455.41,Italian,12.36,105,1,60.0,24055.34
81,34.18,590.59,American,38.3,196,1,211.0,16853.18
262,37.73,420.81,Italian,13.67,168,0,249.0,29574.65
190,31.88,2690.28,Italian,8.34,73,0,111.0,7535.15
202,42.41,941.96,Indian,48.45,39,0,458.0,51072.82
109,35.25,2106.44,Japanese,46.21,159,0,486.0,30768.83
140,56.58,2469.87,Mexican,13.48,120,0,179.0,12874.84
42,51.77,2274.66,Italian,55.23,118,1,,14147.33
292,17.65,1915.36,Mexican,30.35,183,1,471.0,49239.98
228,53.43,2263.6,Japanese,49.1,46,1,383.0,65359.36
96,32.41,1648.47,Mexican,21.09,92,1,449.0,12839.33
275,58.35,872.85,American,47.53,143,1,381.0,68322.51
46,39.1,809.53,Mexican,23.66,185,1,331.0,2935.05
264,8.0,2347.79,Mexican,25.78,94,0,60.0,31485.93
185,8.47,418.02,American,45.34,59,0,461.0,36566.69
234,22.02,2827.88,American,50.02,129,1,459.0,57849.25
213,50.81,58.64,Indian,54.46,194,1,226.0,60573.79
179,36.78,2665.26,Indian,42.38,176,1,362.0,33295.65
61,12.26,1213.42,Japanese,34.1,121,0,157.0,13267.31
66,33.58,2737.93,Japanese,50.03,108,1,127.0,13076.4
240,19.04,2219.62,Mexican,22.5,31,0,19.0,34670.16
272,10.81,1866.91,Italian,21.05,78,0,70.0,40626.64
280,26.64,1628.74,Indian,39.1,79,0,478.0,57788.3
196,17.55,177.27,Mexican,52.96,63,1,18.0,53392.97
111,17.4,1703.29,Italian,46.31,63,1,142.0,23134.12
197,35.32,2499.22,Italian,39.5,55,1,58.0,37737.77
238,46.77,2671.23,Italian,34.38,97,1,37.0,45612.99
157,59.66,92.34,American,23.59,71,0,104.0,28341.79
46,44.49,2825.1,American,20.6,48,1,357.0,6917.34
262,15.49,2220.01,Mexican,16.49,140,1,370.0,16533.34
88,39.94,339.03,Mexican,57.09,51,0,300.0,28787.26
291,17.94,952.49,American,31.75,159,0,279.0,42059.66
130,25.37,1492.99,Italian,24.71,166,0,273.0,21149.9
44,41.28,387.88,Italian,36.0,87,0,50.0,8774.54
269,51.08,489.12,Mexican,48.12,110,0,,63731.9
21,26.58,610.39,Japanese,25.1,76,1,448.0,1917.44
39,19.81,407.89,American,38.67,170,1,398.0,11668.94
102,13.66,403.24,Mexican,23.31,34,0,101.0,9046.66
108,37.55,1226.26,American,50.07,125,0,364.0,33400.81
265,58.27,2748.07,Japanese,54.05,68,1,223.0,76227.24
276,36.24,2132.15,Mexican,10.96,122,0,192.0,28371.12
204,9.68,371.08,Mexican,52.59,54,1,467.0,46010.38
227,24.03,1627.92,American,16.74,89,1,316.0,17532.22
146,45.37,581.63,Indian,15.31,137,0,143.0,18260.66
222,57.21,1772.85,Mexican,11.43,100,0,3.0,28488.43
235,15.63,2501.32,Italian,42.54,148,1,73.0,48625.63
54,52.83,2588.12,American,35.31,190,1,161.0,15308.82
296,48.39,2868.0,Italian,30.5,134,0,116.0,46655.89
72,30.24,1721.06,Indian,20.59,46,1,33.0,4408.61
289,56.68,1194.59,Japanese,11.34,25,0,399.0,28462.88
110,35.68,2845.75,Indian,8.09,34,1,499.0,18443.98
35,25.74,1540.17,American,38.53,176,1,295.0,6267.66
255,29.8,839.86,Mexican,35.73,165,1,24.0,41203.11
234,20.71,410.05,Mexican,28.2,177,1,317.0,23563.76
149,30.15,2346.0,Indian,54.29,187,1,105.0,41363.8
233,41.48,1164.49,American,26.38,141,0,335.0,37544.2
248,27.62,2251.79,Italian,41.32,128,1,69.0,51937.04
162,14.87,2600.28,American,10.26,170,0,192.0,10273.9
28,55.88,1808.07,Japanese,43.82,75,1,350.0,4358.74
112,45.77,1273.24,Italian,55.95,50,1,95.0,39603.79
39,17.19,1319.26,Indian,53.65,151,1,430.0,13441.29
151,50.98,333.18,Japanese,38.76,116,0,,25824.42
93,57.43,2441.83,American,42.03,108,0,337.0,18709.77
171,22.63,1571.28,American,14.62,194,0,227.0,19882.17
191,36.0,1483.45,Japanese,53.14,122,0,221.0,49793.19
85,56.54,959.72,American,18.23,73,0,57.0,500.0
43,25.32,422.65,American,41.14,153,0,105.0,6665.54
239,26.89,2124.55,Italian,30.19,100,0,39.0,34180.51
258,17.63,329.14,American,52.03,43,1,32.0,53140.17
79,31.91,294.33,Japanese,9.96,113,1,252.0,8492.87
230,54.97,2290.78,Italian,38.54,80,1,277.0,58443.97
179,58.26,640.06,Mexican,32.74,86,1,84.0,33106.5
104,16.26,407.38,Japanese,24.64,145,0,377.0,8949.58
279,56.3,1169.0,American,37.19,59,0,196.0,56250.94
200,18.19,1677.32,Italian,41.11,159,1,13.0,39082.74
59,53.67,2042.75,Mexican,44.9,132,0,231.0,13890.19
110,49.38,1671.09,American,10.12,53,0,308.0,11808.94
74,9.59,1658.3,Mexican,52.76,159,0,194.0,10146.29
138,27.37,1355.8,Mexican,42.34,83,0,88.0,26639.99
46,23.09,2501.56,Italian,9.77,26,0,117.0,11996.67
79,52.16,1213.6,Mexican,42.16,143,1,420.0,18557.11
236,20.46,242.88,Japanese,34.84,178,0,329.0,40299.3
239,31.96,1532.29,Mexican,23.4,179,0,386.0,32164.97
37,45.38,768.31,Italian,49.09,108,1,452.0,6468.01
95,59.96,245.96,Indian,53.03,98,0,371.0,19997.05
246,26.89,472.59,Italian,58.4,47,1,343.0,83144.07
75,25.29,1007.64,Mexican,53.38,184,1,497.0,20711.85
218,35.73,2847.6,Italian,28.97,124,1,258.0,31238.59
93,55.92,1689.08,Japanese,24.1,24,0,231.0,18507.62
140,59.66,2511.89,Indian,18.97,65,0,418.0,16775.8
286,22.88,2453.4,Indian,42.26,116,0,127.0,53035.35
97,32.43,1235.54,Indian,25.46,182,1,49.0,11608.6
274,42.52,1447.29,American,22.54,74,0,394.0,29695.21
183,17.8,2126.22,Japanese,56.06,161,0,309.0,42579.26
153,16.79,412.7,Japanese,10.26,55,0,225.0,13464.97
152,25.29,1235.1,Italian,26.19,49,0,336.0,21150.86
159,48.55,1731.71,Indian,30.62,87,1,426.0,28018.12
70,9.37,721.76,Japanese,18.7,111,1,239.0,13221.92
68,57.63,228.38,American,23.32,138,0,395.0,13387.89
294,30.84,211.77,Mexican,28.44,179,0,104.0,41200.0
157,41.04,2625.51,Mexican,46.96,78,0,428.0,30356.56
152,30.5,809.18,Japanese,11.83,55,0,280.0,9414.39
47,27.82,560.46,Japanese,13.86,128,1,288.0,10592.2
209,16.09,2428.82,American,29.1,140,0,3.0,24232.57
173,49.17,1258.12,Mexican,49.09,124,1,237.0,56580.32
150,53.39,1064.8,American,9.75,69,0,89.0,11489.54
36,11.83,338.73,Italian,25.47,172,0,104.0,500.0
85,49.02,788.41,Mexican,19.4,87,1,436.0,9206.64
238,11.53,1508.68,Indian,33.97,134,1,353.0,46963.09
87,32.02,2877.64,Italian,27.89,199,1,463.0,11245.56
206,24.78,335.81,Japanese,22.19,142,1,171.0,27776.3
181,12.89,2894.85,Mexican,11.19,172,0,293.0,14396.41
206,38.01,2958.98,American,16.37,54,1,459.0,19673.19
83,37.7,868.97,Indian,40.01,88,1,478.0,23435.69
133,38.5,1960.73,Mexican,39.17,71,0,311.0,33515.13
162,31.76,2294.56,Japanese,43.83,118,1,128.0,41298.17
263,59.25,1249.69,Mexican,11.66,144,0,167.0,17404.23
213,23.74,1458.39,Mexican,8.45,82,0,459.0,13696.12
184,39.88,991.37,Japanese,40.22,60,1,374.0,44395.61
296,11.98,1973.57,Mexican,17.23,117,1,472.0,31276.14
41,10.55,1479.05,American,46.98,192,0,393.0,17536.94
137,59.53,587.11,Japanese,38.01,144,1,74.0,32421.96
138,39.28,1771.62,Japanese,21.76,80,0,126.0,17958.77
290,16.33,2793.63,Japanese,30.43,131,1,173.0,35685.7
73,24.88,650.13,Japanese,30.16,143,1,411.0,6890.43
287,55.86,2396.3,Italian,20.7,159,1,402.0,46400.62
197,21.34,1623.89,Indian,52.33,32,1,317.0,46256.22
85,49.07,2448.97,Italian,8.1,52,0,116.0,5475.99
156,43.01,1723.92,Japanese,20.7,197,1,15.0,12736.82
134,13.7,347.01,Italian,18.42,199,0,287.0,11058.47
119,8.13,,Mexican,55.51,116,1,171.0,25784.7
109,58.52,2396.48,Italian,49.7,160,0,414.0,31262.94
94,29.31,1553.12,Mexican,49.31,99,1,111.0,23440.39
108,36.48,1816.66,Mexican,50.93,198,0,116.0,28544.87
116,11.82,947.02,Italian,16.59,153,0,282.0,2480.32
280,55.88,1929.39,Mexican,53.22,39,1,189.0,80934.97
44,8.13,116.26,American,28.43,190,0,129.0,9458.87
135,24.16,487.15,Mexican,21.24,43,1,290.0,1091.46
122,27.23,905.49,Japanese,17.38,95,1,449.0,10348.62
81,49.92,1439.4,American,22.65,180,0,71.0,10496.01
45,50.87,811.68,Japanese,36.03,53,0,255.0,13181.95
52,53.99,1269.92,American,44.6,47,1,41.0,12865.27
60,54.52,2593.34,Indian,50.13,41,1,35.0,13174.72
30,33.96,704.01,American,41.48,90,0,39.0,10261.16
275,54.39,525.51,Indian,13.76,41,1,27.0,35655.23
137,52.08,2796.13,Mexican,56.72,20,1,456.0,44882.04
211,36.19,2662.77,Indian,47.58,176,1,278.0,61321.14
261,9.13,1295.46,Italian,38.24,176,0,176.0,43231.46
183,49.31,960.69,Italian,50.97,126,1,166.0,50589.02
